Sample1	F1	F2	F3	F4	F5	F6
359.9656372	0.006150336	0.094679073	0.012340925	0.015985355	0.011017331	0.013833391
359.0325928	0.005990183	0.093037374	0.011812359	0.01588922	0.010690822	0.01361498
357.9438782	0.005958008	0.091840245	0.011817866	0.015952619	0.010634687	0.013623474
357.0105591	0.005658987	0.090570562	0.011635215	0.0157752	0.010686551	0.013531839
356.0771484	0.005787642	0.088745147	0.011442595	0.015961641	0.010664319	0.013705938
354.9879761	0.005791419	0.086965226	0.011219272	0.015858503	0.010521322	0.013785773
354.0542603	0.005754353	0.085323773	0.011024845	0.015802609	0.010681086	0.013592197
352.9647827	0.005444174	0.083429918	0.010520898	0.015929954	0.010466878	0.013485241
352.0308228	0.005215216	0.081268519	0.00999139	0.015152073	0.010153608	0.013298231
350.9410095	0.005211994	0.079207942	0.009659987	0.01552045	0.010228737	0.013275784
350.0067749	0.004934221	0.077438265	0.009218986	0.015429942	0.010175258	0.013231242
349.0724487	0.004724164	0.07555598	0.008904818	0.015411516	0.010033323	0.01311469
347.9822083	0.004466971	0.073109552	0.008353736	0.015103424	0.00990261	0.013086678
347.0475769	0.004054542	0.070418224	0.007587241	0.015055585	0.00941422	0.012741709
345.9570313	0.003997062	0.068376161	0.007316712	0.015029483	0.00974795	0.012893786
345.0221558	0.003927079	0.066354088	0.006899517	0.014959414	0.009571142	0.012780896
343.9313049	0.00372782	0.064043358	0.006384097	0.01496279	0.009672031	0.012657803
342.9961853	0.003513935	0.062108569	0.00601118	0.014909688	0.009522322	0.012580493
342.0609131	0.003371811	0.060135558	0.005637981	0.014966514	0.009525682	0.012694183
340.969635	0.003530924	0.058073577	0.005117925	0.014973748	0.009534467	0.0127017
340.0341187	0.003016824	0.05604222	0.004520014	0.014665217	0.009283032	0.0124862
